code,name,lat,lon,remote,direct_airport,direct_service_hub
YDF,Deer Lake,49.2108,-57.3914,False,True,False
YEG,Edmonton,53.3097,-113.5797,False,True,True
YEV,Inuvik,68.3042,-133.4828,True,True,False
YFB,Iqaluit,63.7564,-68.5558,True,True,False
YFC,Fredericton,45.8689,-66.5372,False,True,False
YHM,Hamilton,43.1736,-79.935,False,True,False
YHU,Montreal Saint-Hubert,45.5175,-73.4169,False,True,False
YHZ,Halifax,44.8808,-63.5086,False,True,True
YKA,Kamloops,50.7022,-120.4444,False,True,False
YKF,Kitchener-Waterloo,43.4608,-80.3786,False,True,False
YLW,Kelowna,49.9561,-119.3778,False,True,False
YMM,Fort McMurray,56.6533,-111.2219,False,True,False
YOW,Ottawa,45.3225,-75.6692,False,True,True
YQB,Quebec City,46.7911,-71.3933,False,True,False
YQG,Windsor,42.2756,-82.9556,False,True,False
YQL,Lethbridge,49.6303,-112.7997,False,True,False
YQM,Moncton,46.1122,-64.6786,False,True,False
YQQ,Comox,49.7108,-124.8867,False,True,False
YQR,Regina,50.4319,-104.6658,False,True,False
YQT,Thunder Bay,48.3719,-89.3239,False,True,False
YQU,Grande Prairie,55.1797,-118.885,False,True,False
YQX,Gander,48.9369,-54.5681,False,True,False
YRT,Rankin Inlet,62.8114,-92.1158,True,True,False
YSB,Sudbury,46.625,-80.7989,False,True,False
YSJ,Saint John,45.3161,-65.8903,False,True,False
YTS,Timmins,48.5697,-81.3767,False,True,False
YTZ,Toronto Billy Bishop,43.6285,-79.3962,False,True,False
YUL,Montreal Trudeau,45.4706,-73.7408,False,True,True
YUY,Rouyn-Noranda,48.2061,-78.8356,False,True,False
YVO,Val-d'Or,48.0533,-77.7828,False,True,False
YVR,Vancouver,49.1967,-123.1815,False,True,True
YWG,Winnipeg,49.9099,-97.2399,False,True,True
YXE,Saskatoon,52.1708,-106.6997,False,True,False
YXS,Prince George,53.8894,-122.6789,False,True,False
YXU,London,43.0356,-81.1539,False,True,False
YXX,Abbotsford,49.0253,-122.3606,False,True,False
YXY,Whitehorse,60.7096,-135.0673,True,True,False
YYB,North Bay,46.3636,-79.4228,False,True,False
YYC,Calgary,51.1215,-114.0076,False,True,True
YYG,Charlottetown,46.29,-63.1211,False,True,False
YYJ,Victoria,48.6469,-123.4258,False,True,False
YYQ,Churchill,58.7392,-94.065,True,True,False
YYR,Goose Bay,53.3192,-60.4258,True,True,False
YYT,St. John's,47.6186,-52.7519,False,True,False
YYZ,Toronto Pearson,43.6777,-79.6248,False,True,True
YZF,Yellowknife,62.4628,-114.4403,True,True,False
YZV,Sept-Iles,50.2233,-66.2656,False,True,False
ZIH,Ixtapa-Zihuatanejo,17.6016,-101.4605,False,True,False
